Dx/Px Description (HAMDCT),count
Musculoskeletal pain (729.9:1),1
Wrist pain (719.43:1),1
Omental bleeding (568.89:2),1
Pheochromocytoma benign adrenal (227.0:1),1
Fracture two ribs-closed (807.02:0),1
"Pseudoaneurysm, upper extremity (442.0:1)",1
"Diffuse, large cell non-Hodgkins (202.80:10003)",1
Acute proctitis (569.49:11),1
Spondylolytic spondylolisthesis (738.41:2),1
Fabry's disease (272.7:4),1
Cardiomegaly (429.3:0),1
Blocked nephrostomy tube bilateral (996.39:10),1
Cancer of kidney and ureter (189.8:0),1
NonInflam dsdr  fallo tube (620.9:1),1
Acute and chronic gastritis (535.00:3),1
Somatization disorder (300.81:0),1
Hx lymphatic+ hematopo cancer (V10.79:0),1
CSF drainage device in situ (V45.2:0),1
Supracondylar # femur - open (821.33:0),1
Lateral thigh and buttock pain (729.5:20),1
Idiopathic myocarditis (422.91:0),1
WPW syndrome (426.7:1),1
Sec mal neoplasm GI (197.8:0),1
"Skin melanoma - trunk, not scrotum (172.5:0)",1
AV valve regurgitation in AVSD (746.89:30),1
Post-operative complete AV block (426.0:3),1
Femoral Artery Thrombosi (444.22:6),1
"# Radius Shaft, Open (813.31:0)",1
Disease of mouth (528.9:9),1
Hemophilus infection (041.85:9),1
Rheum mitral stensis & aort regurg (396.1:1),1
Malign neopl ureter (189.2:0),1
Intestinal disorder (569.9:0),1
Scrotal gangrene (608.4:3),1
Chronic urinary retention (788.20:2),1
Serious+ compli Plas falci malaria (084.0:2),1
Subacute infectious disease (136.9:12),1
Cancer of accessory sinus (160.9:0),1
Gangrenous cecum (557.0:6),1
Rectal erosion (569.89:1),1
Lung nodule (518.89:5),1
Enteritis/ GE presumed infectious (009.1:0),1
Injury to bile duct & gallbladder (868.02:0),1
Acute peptic ulcer w perfor/hemorr (533.20:0),1
Lower lumbar spinal pain (724.4:22),1
Carbuncle of face (680.0:1),1
Cervix intra-epithelial neoplasia (622.1:1),1
Disseminated strongyloidiasis (127.2:4),1
PPH with retained placenta (666.00:1),1
Papilloma (229.9:3),1
Radiculopathy (729.2:3),1
Vaginal tear w primary PPH (665.40:2),1
Pancreatic duct stone (577.8:3),1
Radiation induced colitis (558.1:1),1
"Intracranial abscess, extradural (324.0:5)",1
Limbic enceph paraneopla syndrome (323.8:3),1
Pul artery atresia + VSD (747.3:13),1
Vulval abscess (616.4:0),1
Perforation of bile duct (576.3:0),1
Hx of malignancy (V10.89:0),1
Post-procedural mitral regurg (424.0:8),1
Delivered w impair glucose toleran (648.81:803),1
Injury superior mesenteric vein (902.31:0),1
Type II DM with ketoacidotic coma (250.30:0),1
# humerus shaft - open (812.31:0),1
"Wound dehiscence, postoperative (998.3:2)",1
Deliver single fresh stillbirth AN (V27.1:1),1
Neurofibromatosis (237.70:0),1
Diarrhea presumed infectious (009.3:0),1
Pancreatic disease (577.9:0),1
Spontaneous abortion (634.90:0),1
Food poisoning (005.9:0),1
"Delivered, fetal distress with MSL (656.31:801)",1
Injury thoracic aorta (901.0:0),1
Alcohol related disorder (291.9:3),1
Admit to replace double J catheter (V53.6:2),1
Olfactory neuroblastoma (160.0:6),1
"Nodular lymphoma, head (202.01:0)",1
Sideroblastic anemia (285.0:0),1
Mal neo labia minora (184.2:0),1
Hematometra (621.4:0),1
Cervical incompetence - mat care (654.50:0),1
IVC thrombosis (453.2:3),1
Bladder/urethra inj-clos (867.0:0),1
Carcinoma of parathyroid gland (194.1:1),1
Bleeding gastroduodenitis (535.51:2),1
Post MI syndrome (411.0:0),1
Sec PPH by place accreta deliv epi (666.22:2),1
"No recur ca bladder, FU post surg (V67.0:2)",1
Chron ulcer lower limb not bedsore (707.1:0),1
Ext hemorrhoid with complication (455.5:0),1
Colon injury (863.40:0),1
Acquired aortic valve abnormality (424.1:0),1
Vocal cord tumor (239.1:1),1
TB cervical lymph node in neck (017.20:2),1
Second malig tumor small bowel (197.4:0),1
TB neck abscess (017.00:0),1
Septicaemia due to VRE (038.0:2),1
Anorexia nervosa binge eat/ purge (307.1:2),1
Generalized pustular psoriasis (696.1:8),1
Inj kidney+ open wd to cavity (866.10:0),1
High grade atrioventricular block (426.10:1),1
Delivered with puerperal pyrexia (672.02:801),1
Acute paraplegia (344.12:0),1
Acute duodenal ulcer w obstruction (532.31:0),1
Beta E thalassemia (282.4:11),1
Disease of pericardium (423.9:0),1
Hx Ca bladder no recurrence (V10.51:1),1
Dural AVM (747.81:4),1
Subserous leiomyoma of uterus (218.2:0),1
Open dislocation of joint (839.79:0),1
TB larynx (012.30:1),1
Laceration of tongue (873.64:1),1
# C2 vertebra-closed (805.02:0),1
"Uterine rupture, obstetric injury (665.10:4)",1
Hx-nerv sys/sens org dis (V12.4:0),1
Acute miliary TB by histology (018.05:0),1
Hypovolemia (276.5:0),1
Intrahepatic cholestasis (576.8:5),1
Pyoderma gangrenosum (686.0:1),1
Cervical disc displacement (722.0:0),1
Regional enteritis (555.9:0),1
Uterine inflammatory mass (625.8:2),1
Pelvic recurrence (195.3:1),1
Late effect of surg / med complic (909.3:0),1
"Enterovagin fistula, post d/c comp (619.1:5)",1
Tox eff carbon monoxide (986:0),1
"Placenta previa, type II (641.00:3)",1
Collapse of vertebra (733.13:1),1
Ac marginal ulcer w hem (534.00:0),1
"Maternal disease, antepartum care (648.93:813)",1
Malignant adrenal incidentoma (194.0:14),1
TB of organ by histology (017.95:0),1
Abdominopelvic Abscess (567.2:11),1
Acute URTI (465.9:0),1
"Delivered, unfavourable cervix (654.61:804)",1
ARVD (425.4:3),1
Congen deficiency of clot factors (286.3:0),1
Injury brachial vessels (903.1:0),1
Chr duod ulc hem+ perf+ obstru (532.61:0),1
Osteomyelitis spine acute (730.08:1),1
"Heart tumour, benign (212.7:1)",1
Toxic gastroenteritis+ colitis (558.2:0),1
Spleen h'toma open wd to cavity (865.11:0),1
Gastritis / gastroduodenitis (535.50:0),1
FB in abdomen (911.6:1),1
Stromal tumor of stomach benign (211.1:5),1
Cervical neck mass (784.2:2),1
Traumatic amp finger (886.0:0),1
Multiple open wound nose - complic (873.39:0),1
"HELLP syndrome, antepartum (642.53:2)",1
"SLE GN syndrome, WHO class III (710.0:15)",1
Cx of renal dialysis (E879.1:1),1
ERCP + replacement of stent (51.87:2),1
Generalized anxiety disorder (300.02:0),1
Dysentery (009.0:1),1
Chest stab wound (875.0:1),1
Germ cell tumor extracranial (183.8:999),1
Hip effusion (719.05:1),1
Panophthalmitis (360.02:0),1
Enlargement lymph nodes (785.6:0),1
Parvovirus B19 infection (079.89:2),1
"Adhesion colic, abdominal (568.0:2)",1
Japanese encephalitis (062.0:0),1
Fundal varices (456.8:4),1
Second malig neo ovary (198.6:0),1
Buttock pain (729.5:9),1
"CA oropharynx, lateral wall (146.6:0)",1
VSD post AMI (429.71:4),1
Ureteric stricture (593.3:5),1
Disorder of metabolism (277.9:0),1
"Extradural hemorrhage, non-trauma (432.0:0)",1
Spinocerebellar Ataxia (334.8:2),1
Carbuncle of neck (680.1:0),1
Suppurative otitis media (382.4:0),1
Cystovaginal fistula (619.0:2),1
Cerebrovascular anomaly (747.81:0),1
Gastric antral vascular ectasia (537.82:2),1
APH abruptio placentae mater care (641.20:4),1
Pemphigus foliaceus (694.4:5),1
Close dislocate 5th cervical verte (839.05:0),1
Inflammation of eye (379.99:4),1
M4 monoblastic/monocytic leukaemia (206.00:10000),1
Secondary syphilis skin / mucosa (091.3:0),1
Unilateral renal dysgenesis (753.0:5),1
Duodenal adenoma (211.2:4),1
"Sigmoid polyp, adenoma (211.3:9)",1
"CA oropharynx, posterior wall (146.7:0)",1
Pyuria (599.0:3),1
Subperi mastoid abscess (383.01:0),1
Delivered with retained placenta (667.02:800),1
Infection of intervertebral disc (722.90:3),1
Non-functioning kidney (593.9:3),1
Acute laryngitis (464.0:0),1
Closed skull vault # no LOC (800.31:0),1
Asymptomatic bradycardia (427.89:13),1
Bilateral renal impairment (593.9:2),1
"Neuropathy, autonomic (337.0:1)",1
Closed skull vault # <1 hr LOC (800.02:0),1
Ventricular septal defect (745.4:0),1
"Obstruct labour, persistant OP (660.30:1)",1
Malignant hyperthermia (995.89:4),1
Abd aortic embolism (444.0:0),1
Secondary ca brain (198.3:4),1
Cranial diabetes insipidus post OT (253.5:2),1
Preterm labor for antepartum care (644.13:803),1
Duodenum injury-closed (863.21:0),1
Anastomotic stricture (997.4:14),1
Castleman's disease (785.6:19),1
Big toe ingrowing toe nail (703.0:1),1
Hemorrhagic bronchopneumonia (485:1),1
Encephalomyelitis (323.9:1),1
TB bowel+ mesent gland- exam unkno (014.82:0),1
"Kidney stone, Rt (592.0:7)",1
Metastasis to trachea (197.3:1),1
Ca in situ stomach (230.2:0),1
Actinomycotic septicemia (039.9:5),1
"HELLP syndrome, postpartum (642.54:1)",1
Trochanteric bursitis (726.5:5),1
Soft tiss sarc - rhabdomyosarc (171.9:6),1
# nasal bone (802.0:1),1
Red cell aplasia (284.8:3),1
Femoral vein thromboph & phlebitis (451.11:0),1
"Embolism, Arterial (444.9:1)",1
Esophageal reflux (530.81:0),1
Incisional hernia w gangrene (551.21:0),1
Prolonged 2nd stage (662.20:0),1
Failed induction of labour (659.10:1),1
Eye injury (921.9:1),1
Injury hepatic artery (902.22:0),1
Asphyxia (799.0:0),1
Chronic cystitis (595.2:0),1
Abdominal or pelvic pain (625.9:2),1
Severe malnutrition (262:0),1
Intrauterine death (656.40:0),1
Pulmonary HT >1/2 systemic (416.8:2),1
Complication by internal orth dev (996.78:0),1
Inj superfic femoral art (904.1:0),1
Normal appendix (V71.9:27),1
Retinal hemorrhage (362.81:0),1
Traumatic closed liver laceration (864.05:999),1
Inflammatory polyneuropathy (356.9:7),1
Benign tumor of uterus (219.9:0),1
Subhepatic Abscess (567.2:2),1
Hx of ischemic stroke (438:1),1
Post abor/ec preg gen trac pel inf (639.0:0),1
"Pulmonary embolism, postop (415.1:4)",1
Delivered with prematurity (644.21:800),1
"Death, postop (798.1:1)",1
TB bowel+ mesen gland- no exam (014.81:0),1
Genital herpes (054.10:0),1
Quinsy (475:1),1
Shunt related nephritis (583.9:2),1
"Intracranial abscess, subdural (324.0:6)",1
Generalized lymphadenopathy (785.6:9),1
Benign monoclonal gammopathy (273.1:2),1
Endometritis (615.9:1),1
Type II DM with leg ulcer (250.80:8),1
Infective arthritis of ankle (711.97:0),1
Femoral artery embolism (444.22:4),1
Neph synd focal+ seg glomer lesion (581.89:1),1
RAEB (284.9:4),1
"Cancer tongue, dorsal surface (141.1:0)",1
Endometritis following abortion (639.0:5),1
Ethmoidal Sinusitis (473.2:1),1
Stitch granuloma (998.89:1),1
Abort w hemorr-inc (637.11:0),1
Rheumat mitral + aortic incompete (396.3:1),1
Hx of CA hypopharynx (V10.02:3),1
Chronic hep B with coma (070.22:0),1
Carcinoma of urethra (189.3:1),1
Herpes simplex infection (054.9:0),1
Hereditary spherocytosis (282.0:0),1
Paraovarian cyst (752.11:4),1
Rectal Abscess (566:7),1
Acute lymphadenitis (683:0),1
Sezary's disease (202.20:0),1
Neuropathy d/t B12 def (266.2:4),1
FB in trunk (911.6:4),1
Pathologic # specified site (733.19:0),1
Delivered with adherent placenta (667.02:801),1
Rheum mitral regurg (394.1:2),1
Eosinophilia (288.3:0),1
Thyrotoxicosis (242.80:0),1
"Acute quadripl, C5-C7, complete (344.07:0)",1
Renal artery aneurysm (442.1:0),1
Vagina h'toma obst inj delive epis (665.71:1),1
NIDDM with hyperosmolarity (250.20:4),1
Hodgkin's lymphocytic-histiocytic (201.40:0),1
"Premature ROM, antepartum care (658.13:800)",1
Op - accid perf rectum (998.2:8),1
TB kidney micro exam (016.03:0),1
Contracture of hip joint (718.45:1),1
"Uterine atony+ secondary PPH, PN (666.24:803)",1
# upper end tibia-open (823.10:0),1
"Arterial embol, lower extrem (444.22:2)",1
Acute cystitis (595.0:0),1
"Cerebral palsy, diplegia (343.0:1)",1
Mal neo endocrine glands (194.8:0),1
Secondary thrombocytosis (289.9:1),1
Primary osteoarthritis (715.90:1),1
Open wound of upper limb (884.0:0),1
Sinus venosus ASD superior (745.5:11),1
"Deep laceration knee, leg, ankle (891.1:1)",1
"Prolonged 1st stage- CPD, AP (662.03:801)",1
Rickettsialpox (083.2:0),1
Smooth muscle tumor (239.2:4),1
Agranulocytosis d/t antithyroid-d (288.0:4),1
Pancrea head inj+ open wd to cavit (863.91:0),1
Multi cerebra art occlude + infarc (433.31:0),1
Tetanus (037:0),1
Benign neo cranial nerve (225.1:0),1
Multiple sclerosis (340:0),1
Hemorrhage rectum anus (569.3:0),1
Toxic neuropathy (357.7:2),1
"Diverticulitis,Rectum (562.11:6)",1
FallopianTubal Cyst (620.8:9),1
TB bowel+ mesent gland by histo (014.85:0),1
Inflammatory spondylopathy (720.9:0),1
Condyloma of cervix (078.10:1),1
Liver Donor (V59.6:0),1
Pelvic secondaries (198.89:1),1
Ut prolaps w cyst/rect/enter ocele (618.4:2),1
Iliofemoral embolism (444.81:4),1
Pneumonia in infectious disease (136.9:1),1
Dysmenorrhea (625.3:0),1
Supravalvar localize aort stenosis (747.22:6),1
Undifferentiated CTD (710.8:5),1
TB skin & soft tissue w +ve AFB (017.03:1),1
Moderate depressive episode (296.22:1),1
"Trauma amputat leg, unilateral (897.4:0)",1
Injury renal vessel (902.40:0),1
Bowel evisceration (553.20:2),1
ERCP & ENBD (51.86:2),1
Mesenteric thrombosis (557.0:12),1
Hemangioma intracranial (228.02:0),1
Hepatic cystadenoma (211.5:3),1
Portal pyemia (572.1:0),1
Prelabor rupt uter-unsp (665.00:0),1
Yellow fever (060.9:0),1
Irreducible hernia (552.9:1),1
Cryoglobulinemia (273.2:1),1
ERCP (51.10:0),1
Non-TB brain abscess (324.0:2),1
Right heart enlargement (429.3:4),1
Acquired nasolacrimal stenosis (375.56:0),1
Chorea (333.5:0),1
Felon (681.01:0),1
Skin nodule (782.2:14),1
Delivered with renal disease (646.21:800),1
Cancer submandibular gland (142.1:0),1
Angiodysplasia w hemorr - upper GI (537.83:1),1
Cryptosporidiosis (007.4:0),1
Live related liver donor (V59.6:1),1
TB skin (017.00:1),1
Previous Cesarean delivery (654.20:0),1
Atrioventricular septal defect (745.69:3),1
Twin pregnancy (651.00:0),1
Strepto pneumoniae infection (041.06:0),1
Neurogenic bladder (596.54:0),1
Femoral pseudoaneurysm (442.3:3),1
Bowel infarction (557.0:1),1
Retropubic hematoma (568.81:3),1
# femoral condyle - closed (821.21:0),1
Anapla large cell lymphoma ALK -ve (202.80:39),1
Metastasis to spinal cord (198.3:5),1
Ca biliary tract for maternal care (648.90:175),1
Infected hydrocele (603.1:0),1
Dysthymic disorder early onset (300.4:1),1
Amputation arm+ hand unilat (887.4:0),1
Complic labor (659.90:0),1
Anaphylaxis (995.0:1),1
"Aspiration pneumonia, post-op (507.0:3)",1
Multiple fractures (829.0:1),1
Gangrenous ileum (557.0:7),1
Wax in ear canal (380.4:1),1
Anaplas larg cell lymphoma ALK +ve (202.80:38),1
Closed # spine (805.8:0),1
Met peritoneum (197.6:999),1
Secondary postpartum hemorrhage (666.20:0),1
Hodgkin nodul sclerosis H&N LN (201.51:0),1
"Deep transv arrest+ persist OP, AP (660.33:800)",1
"Legal abort w pelv damage, incompl (635.21:0)",1
Intestinal strongyloidiasis (127.2:2),1
"Delivered, uterine rupture- labor (665.11:800)",1
Hx-laryngeal malignancy (V10.21:0),1
Acquired maxillofacial defect (738.10:2),1
Carcinoma of ureter (189.2:1),1
Bleeding internal iliac vessel (459.0:3),1
HIV-2 with lymphadenopathy (042:22),1
"# ulna distal end, close (813.43:0)",1
Infective arthritis shoulder (711.91:0),1
Intestinal infection due to E coli (008.00:0),1
Fail abort cx genital& pelv infect (638.0:0),1
# foot bone - closed (825.20:0),1
Tricuspid valve disease (397.0:0),1
Gastrostomy status (V44.1:0),1
Malign hypertensive heart disease (402.00:0),1
Meckel's diverticulum (751.0:0),1
# fibula open (823.91:0),1
"Adhesion bands, peritoneum (568.0:1)",1
Type I DM + hypoglycemic coma (250.31:2),1
Leakage (997.4:10),1
Close skull base # w ICH mod LOC (801.23:0),1
Caesarean scar pregnancy (633.8:4),1
Chron peptic ulcer w perfor/obstr (533.51:0),1
Prematurity complicate pregnancy (644.20:1),1
Eating disorder (307.50:0),1
Fibromatosis (238.1:3),1
Immediate postpartum hemorrhage (666.10:0),1
Genital tract infection w 2nd PPH (646.60:5),1
Postpartum hemorrhage (666.10:1),1
Diffuse connective tissue disease (710.9:0),1
Stab wound of abdomen (879.2:6),1
No liquor (658.80:1),1
Bacterial meningoencephalitis (320.9:3),1
Caisson disease (993.3:0),1
Hypertensive heart disease (402.90:0),1
Infection PD catheter (996.68:0),1
Open wound of trunk (879.6:0),1
Extradural abscess of spinal cord (324.1:5),1
Porphyria (277.1:1),1
"Trauma, VU laceration (878.4:1)",1
RV dysfunction (429.9:2),1
Inverted papilloma of bladder (236.7:2),1
Esophageal injury (862.22:0),1
Acute miliary TB (018.00:0),1
Carbuncle of leg (680.6:1),1
Macrocytic anemia (281.9:1),1
Acontractile bladder (344.61:1),1
Tracheoesophageal fistula (530.84:0),1
Adjustment disorder (309.9:0),1
HIV diseas result in multi disease (042:37),1
Injury abdominal aorta (902.0:0),1
Meatal stenosis (598.9:2),1
Rupture uterus at labor (665.10:0),1
"Delivered, ruptured uterus + PPPH (665.11:802)",1
Appendicitis (541:0),1
"Bipolar affective disorder, manic (296.40:0)",1
Spontaneous hemorrhage (459.0:2),1
Perimembranous VSD (745.4:7),1
Jakob-Creutzfeldt disease (046.1:0),1
Follicular lymphoma grade 3b (202.00:19),1
Monoarthritis (716.60:0),1
Carotid cavernous fistula (437.3:1),1
Poison by salicylate (965.1:0),1
Bipolar current manic w psycho sym (296.44:4),1
Abn toxicologic finding (796.0:0),1
Drugs induced psychotic disorder (292.89:64),1
Ascorbic acid deficiency (267:0),1
Renal infarction (593.81:2),1
Clos# sku base lac+ contu mod LOC (801.13:0),1
Acute dilation of stomach (536.1:0),1
Uncontrol type I DM hyperglycemia (250.83:5),1
Carbuncle of buttock (680.5:1),1
"AMI, post-op (410.90:2)",1
Warfarin OD (964.2:1),1
Septic arthritis costovertebral jt (711.08:5),1
Lumbar spondylolisthesis (738.41:8),1
Hemoglobin SS disease w crisis (282.62:0),1
CA perianal skin (173.5:1),1
Membranoproliferative nephritis (583.2:0),1
GI anastomotic stricture postop (997.4:39),1
Streptococcus group D infection (041.04:0),1
Bowel obstruct due to stricture (560.9:15),1
Recur unilat inguin hernia w gangr (550.01:0),1
Hydatidiform mole (630:0),1
Hepatomegaly (789.1:0),1
# femoral condyle - open (821.31:0),1
"SLE GN syndrome, WHO class V (710.0:17)",1
Delivered with postpartum GTI (646.62:805),1
Close base # prolong LOC regain (801.04:0),1
Ileocolic Intussuception (560.0:2),1
Pleurisy (511.0:0),1
Aphasia (784.3:0),1
Dominant RV + hypoplastic LV (746.89:135),1
Inj infer mesenteric art (902.27:0),1
Secondary malign neoplas of tongue (198.89:9),1
Cancer of spleen (159.1:0),1
"Ureteric stones, Rt (592.1:6)",1
"Occlude precerebral art, no infarc (433.80:0)",1
"Delivered, slow progress in labor (661.21:804)",1
Delivered with prelabor ROM (658.11:801),1
ICH-intraventricular nontraumatic (431:7),1
"Delivered, 4th degre perineal tear (664.31:800)",1
Cancer of larynx - subglottis (161.2:0),1
Uterine prolapse (618.1:0),1
Lumbar spondylosis (721.3:1),1
Heart valve replace by other mean (V43.3:0),1
Inflam small bowel & colon (558.9:22),1
Apraxia (784.69:3),1
Disease of digestive system (569.9:3),1
HIV result in multi infections (042:32),1
Disorder character by eosinophilia (288.3:1),1
Hydronephrosis w ureter stricture (591:8),1
Mesenteric lymphadenitis (289.2:3),1
Lymphocytosis (288.8:9),1
Liver subcapsular hematoma (573.8:3),1
Hepatopulmonary syndrome (573.8:13),1
Bone infection - pelvis (730.95:0),1
Closed # supracondylar humerus (812.41:0),1
Frontal AVM (747.81:5),1
Hx of alcoholism (V11.3:0),1
Bowel adhesion (568.0:4),1
Acute transverse myelitis (323.9:7),1
Type II DM+ background retinopathy (250.50:8),1
Poison by cardiotonic glycoside (972.1:0),1
Eye disorder (379.90:0),1
Progressive supranuclear palsy (333.0:7),1
"Injury to ureter, intra-operative (998.2:10)",1
Blastic NK-cell lymphoma (202.80:49),1
Spinal arteriovenous malformation (747.82:1),1
Sensorineural hearing loss (389.10:0),1
Type I DM incipient nephropathy (250.41:4),1
Traumatic amputation above knee (897.2:3),1
Perforation retroperitoneal organ (568.89:5),1
Ankle pain (719.47:1),1
Telogen effluvium (704.02:0),1
"Nodular lymphoma, spleen (202.07:0)",1
Delirium superimposed on dementia (290.11:3),1
Pulmonary aspiration of blood (507.8:2),1
Parox ventric tachycard (427.1:0),1
Chronic pyelonephritis (590.00:0),1
Malig seconda HT by renal disorder (405.02:0),1
Alcohol amnestic syndrome (291.1:0),1
Heart chamber lacerat-cl (861.03:0),1
Stomach dysplasia (537.89:4),1
"Moderate MR, with impair behavior (318.0:3)",1
Ornithine transcarbamylase def (270.6:7),1
Small intest injury (863.20:0),1
Multi chop wounds upper limb (884.0:1),1
Intrahepatic ductal stricture (576.2:6),1
Burn lower limb (945.00:0),1
Paget's disease of scrotum (187.7:2),1
Groin scrotal abscess (608.4:1),1
# bimalleolar - closed (824.4:0),1
Diverticulosis of small intestine (562.00:0),1
Malign neopl scrotum (187.7:0),1
Immune reconstitution syndrome (279.9:2),1
Vocal paral unilat part (478.31:0),1
Chr osteomyelit-pelvis (730.15:0),1
Transfusion reaction (999.8:0),1
Nephritis w rapid progress GN (583.4:0),1
Psychomot ep-intractable (345.41:0),1
Defibrillator lead complication (996.04:2),1
Bile leakage from liver (573.8:4),1
Pneumonia in whoop cough (033.9:1),1
Kaposi's sarcoma GI tract (176.3:0),1
Bladder Outflow Obstruct (596.0:3),1
Giant cell tumor of pelvic bones (213.6:2),1
RVOT obst - septoparietal band (746.84:5),1
# metatarsal - closed (825.25:0),1
Intestinal abscess (569.5:0),1
Puerperal sepsis (670.04:2),1
Hepatitis E with coma (070.43:0),1
Bone marrow donor (V59.3:0),1
Fracture calcaneus - open (825.1:0),1
Strangulated Umbilical H (552.1:1),1
Otitis externa infective (380.10:0),1
Irreducible incisional hernia (552.21:2),1
Malig neo cervix (180.8:0),1
LN metastasis (196.9:1),1
Abruptio placentae (641.20:2),1
Neoplasm of soft tissue (239.2:41),1
Abnormal diagnostic image of lung (793.1:2),1
Malig neo skin trunk not scrotum (173.5:0),1
Type II DM with foot ulcer (250.80:16),1
Splenic infarction (289.59:6),1
Hemophilus meningitis (320.0:0),1
Staghorn renal stone (592.0:3),1
"Threatened miscarriage, antepartum (640.03:800)",1
Mal neo labia majora (184.1:0),1
"Vascular injury, postoperative (997.2:8)",1
Budd-Chiari syndrome (453.0:0),1
Tuberculosis with arthritis (015.90:1),1
CA hypopharynx aryepiglottic fold (148.2:0),1
Takayasu's disease (446.7:0),1
Relapsing polychondritis (733.99:3),1
Malignant Melanoma (172.9:0),1
Retained placenta (667.00:0),1
Uterine fibroid polyp (218.9:5),1
Sialoadenitis (527.2:0),1
Acute alcohol intoxicat continuous (303.01:0),1
Post-procedure tricuspid regurgit (424.2:3),1
Acute prostatitis (601.0:0),1
"Headache, post traumatic (310.2:1)",1
Tracheostomy status (V44.0:0),1
Epiglottic cyst (478.79:5),1
Periodontal abscess (523.3:1),1
"Aplastic anemia, parvovirus infect (284.8:5)",1
Oral soft tissue disease (528.9:0),1
Burn larynx/trachea/lung (947.1:0),1
Dysplastic coxarthrosis (715.15:4),1
"Cardiac tamponade, post-op (423.9:3)",1
Open vault # w ICH brief LOC (800.72:0),1
Hydroureteronephrosis (591:4),1
Chronic ascites (789.5:2),1
# symphy mandib bdy-opn (802.36:0),1
Multi+ psych drug depen contin use (304.80:4),1
Unc behav neo bladder (236.7:0),1
Alcohol withdrawal convulsion (291.81:4),1
Post TURP cystitis (595.9:3),1
Ankyl vert hyperostosis (721.6:0),1
Thalassemias (282.4:0),1
Infection of vascular entry site (998.59:15),1
# facial bone close (802.8:0),1
Primary IgA nephropathy (583.89:20),1
Alcohol depend continuous drinker (303.91:0),1
Acute vascular dementia mix sympto (290.40:14),1
Carcinoma of cardia of stomach (151.0:1),1
Drug overdose (977.9:1),1
UTI for antepartum care (646.63:801),1
Renal graft rejection (996.81:2),1
Lumbar spinal pain (724.4:5),1
Parietal AVM (747.81:3),1
Major hep lacer + open wd to cavi (864.14:0),1
PAN related nephropathy (446.0:1),1
Long QT interval (426.9:2),1
Mal neo conjunctiva (190.3:0),1
Congestive liver (573.0:1),1
Prolapsed colostomy (569.6:3),1
Open wound back (876.0:0),1
Hyperglycinemia (270.7:6),1
Raynaud's phenomenon (443.0:3),1
Hypertrophic cardiomyopathy (425.4:8),1
APH from placenta previa type IV (641.13:804),1
Acute vascular dementia delusional (290.42:3),1
Delivered with anemia (648.21:800),1
Mixed mitral valve disease (394.9:2),1
Multiple system atrophy (333.0:9),1
Bleeding rectal polyp (569.0:2),1
Inflammatory myopathy (359.8:4),1
Skin cancer of upper limb (173.6:0),1
"GIST, duodenum (235.2:5)",1
Viral myocarditis (422.91:2),1
Open wound buttock (877.0:0),1
CA skin ear+ ext audit canal (173.2:0),1
Alcohol-induced dementia (291.2:0),1
Dietary B12 deficiency anemia (281.1:5),1
Hereditary coproporphyria (277.1:5),1
"Cardiomyopathy, antepartum care (648.63:805)",1
FB in intestine & colon (936:1),1
Hodgkin disease axilla+ UL LN (201.94:0),1
Bilateral renal stones (592.0:1),1
"Vaginal hematoma after labor, PP (665.74:802)",1
"Placenta previa type IV, AP (641.03:805)",1
Bartonellosis (088.0:0),1
Acute vascul dementia depressive (290.43:3),1
Ben neo spinal meninges (225.4:0),1
Nephrotic synd w proliferative GN (581.0:0),1
Pigmented lesion (709.00:1),1
Herpes labialis (054.9:1),1
Delivered with maternal disease (648.91:813),1
Hx-uterus malignancy (V10.42:0),1
Electroencephalography (89.14:0),1
TB arthritis lower leg (015.20:1),1
Cancer of ureteric orifice (188.6:0),1
"Paraganglioma, adrenal gland (227.0:3)",1
Paratyphoid fever B (002.2:0),1
Dissociative convulsion (300.11:5),1
Delivered with transverse lie (652.31:801),1
"Nodular lymphoma, axilla (202.04:0)",1
Skin & subcut tissue disorder (709.9:0),1
Focal proliferative GN (583.0:2),1
Persist postop fistula (998.6:0),1
Regular wide complex tachycardia (427.1:10),1
Mod MR sig impair behav atten/ tx (318.0:2),1
Upper ureteric stones (592.1:4),1
Orbital cellulitis (376.01:0),1
Abort w pel inf-inc (637.01:0),1
TB bone by culture (015.74:0),1
Oliguria & anuria (788.5:0),1
Cancer of prostatic urethra (189.3:6),1
Thyroid disease (246.9:0),1
Streptococcus milleri group infect (041.09:2),1
Hypoalbuminuria (791.0:1),1
"Delirium, psychotic (293.0:2)",1
Popliteal space synovial cyst (727.51:0),1
Femoral artery perforation (904.1:1),1
"dummy code, pls enter dx (000:0)",1
Inflammation of CNS (349.89:5),1
Open dislocation of knee (836.60:0),1
"Sinus of Valsalva aneurysm, NCC (747.29:14)",1
Hx of myeloid leukemia (V10.62:0),1
"Subdural effusion, non traumatic (348.5:2)",1
Addison's Disease (255.4:1),1
Artif urinary open statu (V44.6:0),1
Endometrial cystic hyperplasia (621.3:0),1
Cerebell contus- mod coma (851.43:0),1
Polymyalgia rheumatica (725:0),1
Monocytosis (288.8:8),1
Injury multi mus& tendon upper arm (840.8:5),1
Free wall rupture - post MI (429.79:1),1
Mature T/NK cell lymphoma (202.80:40),1
Empyema with fistula (510.0:0),1
Postop urethral stricture (598.2:0),1
"Clotting time, prolonged (790.92:2)",1
Pelvic endometriosis (617.3:3),1
Disease of spinal cord (336.9:0),1
