Organism_Combination,Count
"Neisseria species | Streptococcus, viridans group",8
Candida glabrata | Enterococcus faecium | Pseudomonas aeruginosa,8
Trichophyton rubrum,8
Mycobacterium abscessus | Staphylococcus aureus,8
Campylobacter coli,8
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Diphtheroids,8
Non-haemolytic streptococcus,8
Methicillin resistant Staphylococcus aureus | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,8
Enterobacter species | Methicillin resistant Staphylococcus aureus,8
Enterococcus faecalis | Proteus species,8
Coliform bacteria | Escherichia coli | Klebsiella pneumoniae,8
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,8
Candida tropicalis | Escherichia coli | Methicillin resistant Staphylococcus aureus,8
Klebsiella pneumoniae | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,8
Citrobacter species | Methicillin resistant Staphylococcus aureus,8
Clostridioides difficile | Escherichia coli | Pseudomonas aeruginosa,8
Coliform bacteria | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,8
Proteus species | Pseudomonas aeruginosa,8
"Enterococcus faecium | Escherichia coli | Staphylococcus, coagulase negative",8
Candida albicans | Enterococcus faecium | Stenotrophomonas maltophilia,8
"Streptococcus, group C",8
Candida albicans | Citrobacter species,8
"Staphylococcus epidermidis | Staphylococcus, coagulase negative",8
Enterobacter cloacae complex | Enterococcus faecium | Escherichia coli,8
Candida albicans | Corynebacterium striatum | Enterococcus faecium,8
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella aerogenes,8
"Neisseria species | Rothia mucilaginosa | Streptococcus, viridans group",8
Candida albicans | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus,8
Coliform bacteria | Non-fermentative Gram-negative bacilli,8
"Candida albicans | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",8
Candida glabrata | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,8
Enterococcus avium | Escherichia coli,8
Mycobacterium chelonae,8
Candida albicans | Corynebacterium striatum | Methicillin resistant Staphylococcus aureus,8
Coliform bacteria | Enterococcus faecium | Escherichia coli,8
Candida albicans | Gardnerella vaginalis,8
Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,8
Candida albicans | Enterococcus faecium | Proteus mirabilis,8
"Staphylococcus, coagulase negative | Stenotrophomonas maltophilia",8
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Morganella morganii,8
Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Streptococcus agalactiae,8
Candida albicans | Enterococcus faecium | Escherichia coli | Klebsiella species,8
Escherichia coli | Salmonella group B,8
Enterococcus avium,8
Escherichia coli | Klebsiella pneumoniae complex | Morganella morganii,8
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,8
Clostridium perfringens | Escherichia coli | Klebsiella pneumoniae complex,8
Corynebacterium tuberculostearicum,8
Candida tropicalis | Klebsiella species,8
Candida albicans | Morganella morganii,8
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Proteus mirabilis | Staphylococcus aureus,8
Parvimonas micra | Streptococcus constellatus,8
Candida species | Enterococcus faecium,8
Escherichia coli | Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia,8
Candida albicans | Coliform bacteria | Escherichia coli,8
Proteus mirabilis | Providencia stuartii,7
Aeromonas species | Klebsiella pneumoniae complex,7
Neisseria gonorrhoeae,7
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Proteus mirabilis | Pseudomonas aeruginosa,7
"Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Staphylococcus, coagulase negative",7
Aeromonas species | Klebsiella pneumoniae,7
Pseudomonas aeruginosa | Streptococcus anginosus,7
Corynebacterium urealyticum | Enterococcus faecium,7
Candida albicans | Escherichia coli | Proteus mirabilis | Pseudomonas aeruginosa,7
Candida albicans | Mycobacterium species | Mycobacterium tuberculosis,7
Corynebacterium urealyticum | Pseudomonas aeruginosa,7
"Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Staphylococcus, coagulase negative",7
Candida guilliermondii,7
Klebsiella species | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,7
Haemophilus influenzae | Staphylococcus aureus,7
Citrobacter species | Enterococcus faecium,7
Escherichia coli | Klebsiella pneumoniae | Stenotrophomonas maltophilia,7
Corynebacterium striatum | Escherichia coli | Klebsiella pneumoniae,7
Candida albicans | Methicillin resistant Staphylococcus aureus | Stenotrophomonas maltophilia,7
Pasteurella multocida,7
Candida albicans | Escherichia coli | Stenotrophomonas maltophilia,7
Corynebacterium striatum | Enterococcus faecalis | Escherichia coli,7
Candida albicans | Staphylococcus epidermidis,7
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Clostridioides difficile,7
Clostridioides difficile | Klebsiella pneumoniae complex,7
Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Pseudomonas aeruginosa,7
Coliform bacteria | Staphylococcus species,7
Candida glabrata | Klebsiella species,7
Chryseobacterium species,7
Coliform bacteria | Enterobacter cloacae complex,7
Candida glabrata | Streptococcus agalactiae,7
Escherichia coli | Morganella morganii | Proteus mirabilis,7
Candida tropicalis | Escherichia coli | Pseudomonas aeruginosa,7
Corynebacterium striatum | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,7
Enterobacter cloacae complex | Escherichia coli | Pseudomonas aeruginosa,7
Clostridioides difficile | Escherichia coli | Methicillin resistant Staphylococcus aureus,7
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Staphylococcus aureus,7
Corynebacterium striatum | Methicillin resistant Staphylococcus aureus | Proteus mirabilis,7
Enterococcus faecalis | Enterococcus faecium | Methicillin resistant Staphylococcus aureus,7
Candida albicans | Klebsiella pneumoniae complex | Staphylococcus aureus,7
Klebsiella species | Morganella morganii,7
Citrobacter koseri | Citrobacter species,7
"Diphtheroids | Staphylococcus aureus | Staphylococcus, coagulase negative",7
Citrobacter species | Morganella morganii,7
Candida species | Candida tropicalis,7
Enterococcus faecium | Proteus mirabilis | Pseudomonas aeruginosa,7
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,7
Enterobacter species | Pseudomonas aeruginosa,7
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Streptococcus agalactiae,7
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,7
Bacteroides fragilis | Escherichia coli | Klebsiella pneumoniae,7
Candida albicans | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,7
Enterococcus faecalis | Pseudomonas aeruginosa | Staphylococcus aureus,7
Candida albicans | Citrobacter koseri,7
Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,7
Enterococcus faecium | Escherichia coli | Staphylococcus aureus,7
Diphtheroids | Escherichia coli | Pseudomonas aeruginosa,7
Aspergillus fumigatus,7
Candida albicans | Proteus mirabilis | Pseudomonas aeruginosa,7
Corynebacterium striatum | Stenotrophomonas maltophilia,7
Escherichia coli | Staphylococcus hominis,7
Candida albicans | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex,7
Escherichia coli | Methicillin resistant Staphylococcus aureus | Morganella morganii | Pseudomonas aeruginosa,7
Corynebacterium species | Escherichia coli,7
Corynebacterium striatum | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,7
Mycobacterium gordonae | Mycobacterium species,7
Micrococcus luteus,7
Diphtheroids | Klebsiella pneumoniae complex,7
Enterococcus faecium | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,7
Corynebacterium striatum | Enterobacter cloacae complex,7
Escherichia coli | Mycobacterium species | Mycobacterium tuberculosis,7
Gram-negative bacilli | Pseudomonas aeruginosa,7
Aspergillus species,7
Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,7
Escherichia coli | Klebsiella species | Methicillin resistant Staphylococcus aureus,7
Candida albicans | Escherichia coli | Streptococcus agalactiae,7
Candida albicans | Klebsiella pneumoniae | Pseudomonas aeruginosa,7
Pseudomonas aeruginosa | Serratia marcescens,7
"Candida parapsilosis | Staphylococcus, coagulase negative",7
Candida albicans | Coliform bacteria | Enterococcus faecium,6
Escherichia coli | Pichia kudriavzevii,6
Acinetobacter baumannii | Candida albicans,6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecalis | Proteus mirabilis,6
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Streptococcus, group G",6
Enterobacter cloacae complex | Escherichia coli | Klebsiella pneumoniae complex,6
Corynebacterium amycolatum,6
Trichosporon species,6
Citrobacter koseri | Staphylococcus aureus,6
Escherichia coli | Streptococcus gallolyticus subspecies pasteurianus,6
Bacteroides fragilis | Escherichia coli | Streptococcus constellatus,6
"Enterococcus faecalis | Staphylococcus aureus | Staphylococcus, coagulase negative",6
Citrobacter species | Proteus mirabilis,6
Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Serratia species,6
Citrobacter species | Staphylococcus aureus,6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus,6
Methicillin resistant Staphylococcus aureus | Staphylococcus capitis,6
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",6
Candida tropicalis | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Methicillin resistant Staphylococcus aureus,6
Vibrio vulnificus,6
"Escherichia coli | Klebsiella pneumoniae | Staphylococcus, coagulase negative",6
Bacillus species | Escherichia coli,6
Saccharomyces cerevisiae,6
Enterobacter cloacae complex | Enterococcus faecium,6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecium | Escherichia coli,6
Enterobacter cloacae complex | Escherichia coli | Methicillin resistant Staphylococcus aureus,6
Corynebacterium pseudodiphtheriticum,6
Mycobacterium avium complex | Mycobacterium species | Pseudomonas aeruginosa,6
Diphtheroids | Proteus mirabilis,6
Corynebacterium striatum | Pseudomonas aeruginosa | Staphylococcus aureus,6
"Klebsiella pneumoniae | Streptococcus, group G",6
Klebsiella aerogenes | Proteus mirabilis,6
Candida tropicalis | Klebsiella aerogenes,6
Corynebacterium species | Methicillin resistant Staphylococcus aureus,6
Candida species | Klebsiella pneumoniae,6
Klebsiella pneumoniae | Streptococcus species,6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Methicillin resistant Staphylococcus aureus,6
Candida albicans | Enterococcus faecalis | Escherichia coli | Pseudomonas aeruginosa,6
Candida glabrata | Proteus mirabilis | Pseudomonas aeruginosa,6
"Propionibacterium species | Staphylococcus, coagulase negative",6
Candida albicans | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,6
Candida glabrata | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex,6
Mycobacterium abscessus | Mycobacterium avium complex | Mycobacterium species,6
Citrobacter species | Enterobacter species,6
Escherichia coli | Pseudomonas aeruginosa | Streptococcus agalactiae,6
Candida glabrata | Corynebacterium striatum,6
Diphtheroids | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,6
"Candida albicans | Enterococcus faecium | Staphylococcus, coagulase negative",6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Escherichia coli,6
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Staphylococcus, coagulase negative",6
Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Staphylococcus aureus,6
Candida glabrata | Enterobacter cloacae complex | Escherichia coli,6
Candida parapsilosis complex | Escherichia coli,6
Candida albicans | Mycobacterium kansasii,6
"Morganella morganii | Staphylococcus, coagulase negative",6
Klebsiella pneumoniae | Streptococcus agalactiae,6
Enterococcus faecalis | Streptococcus agalactiae,6
"Serratia species | Staphylococcus, coagulase negative",6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Proteus mirabilis,6
Enterobacter cloacae complex | Escherichia coli | Klebsiella pneumoniae,6
"Proteus mirabilis | Streptococcus, group G",6
Enterobacter cloacae,6
Salmonella Enteritidis | Salmonella group D,6
Coliform bacteria | Escherichia coli | Streptococcus species,6
Mycobacterium marinum,6
Candida albicans | Corynebacterium striatum | Escherichia coli,6
Diphtheroids | Klebsiella species,6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Pseudomonas aeruginosa,6
Klebsiella pneumoniae | Proteus mirabilis | Pseudomonas aeruginosa,6
Escherichia coli | Methicillin resistant Staphylococcus aureus | Morganella morganii,6
Escherichia coli | Salmonella Enteritidis,6
"Bacillus species | Staphylococcus, coagulase negative",6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Klebsiella pneumoniae complex,6
Candida glabrata | Coliform bacteria,6
Mycobacterium kansasii | Pseudomonas aeruginosa,6
Klebsiella species | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,6
Candida parapsilosis | Staphylococcus aureus,6
Escherichia coli | Streptococcus mitis group,6
"Staphylococcus aureus | Staphylococcus, coagulase negative | Streptococcus agalactiae",6
Candida species | Klebsiella pneumoniae complex,6
Corynebacterium striatum | Enterococcus faecium | Escherichia coli,6
Streptococcus mitis group | Streptococcus salivarius group,6
Escherichia coli | Salmonella species,6
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,6
Candida albicans | Candida species | Enterococcus faecium,6
Candida albicans | Serratia species,6
Candida tropicalis | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,6
Achromobacter species | Pseudomonas aeruginosa,6
Citrobacter koseri | Klebsiella pneumoniae,6
Candida albicans | Staphylococcus lugdunensis,6
Candida glabrata | Klebsiella pneumoniae complex | Pseudomonas aeruginosa,6
Haemophilus influenzae | Streptococcus pneumoniae,6
Corynebacterium urealyticum | Escherichia coli,6
